update_date,country/region,latitude,longitude,cum_confirmed,cum_dead,cum_recovered,new_confirmed,new_dead,new_recovered
2020-02-03,Australia,,,12.0,0.0,2.0,0.0,0.0,0.0
2020-02-03,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Canada,,,4.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,China,,,19716.0,425.0,614.0,3086.0,64.0,151.0
2020-02-03,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,France,91.3624,59.71919999999999,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Germany,51.0,9.0,12.0,0.0,0.0,2.0,0.0,0.0
2020-02-03,India,21.0,78.0,3.0,0.0,0.0,1.0,0.0,0.0
2020-02-03,Italy,43.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Japan,36.0,138.0,20.0,0.0,1.0,0.0,0.0,0.0
2020-02-03,Malaysia,2.5,112.5,8.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Philippines,13.0,122.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-02-03,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Singapore,1.2833,103.8333,18.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Sri Lanka,7.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Sweden,63.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Thailand,15.0,101.0,19.0,0.0,5.0,0.0,0.0,0.0
2020-02-03,United Arab Emirates,24.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,United Kingdom,270.0299,-482.92470000000003,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,United States,37.0902,-95.7129,11.0,0.0,0.0,3.0,0.0,0.0
2020-02-03,Vietnam,16.0,108.0,8.0,0.0,1.0,2.0,0.0,0.0
2020-02-04,Australia,,,13.0,0.0,2.0,1.0,0.0,0.0
2020-02-04,Belgium,50.8333,4.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-04,Cambodia,11.55,104.9167,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Canada,,,4.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,China,,,23707.0,491.0,843.0,3991.0,66.0,229.0
2020-02-04,Finland,64.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,France,91.3624,59.71919999999999,6.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Germany,51.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,India,21.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Italy,43.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Japan,36.0,138.0,22.0,0.0,1.0,2.0,0.0,0.0
2020-02-04,Malaysia,2.5,112.5,10.0,0.0,0.0,2.0,0.0,0.0
2020-02-04,Nepal,28.1667,84.25,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Philippines,13.0,122.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-02-04,Russian Federation,60.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,Singapore,1.2833,103.8333,24.0,0.0,0.0,6.0,0.0,0.0
2020-02-04,Spain,40.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0
